id,ingredient_id,standard_name,alias_name,description,embedding
1,1,닭고기,닭고기,"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
2,1,닭고기,닭,"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
3,1,닭고기,가금류,"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
4,1,닭고기,닭기름,"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
5,1,닭고기,Chicken,"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
6,1,닭고기,치킨,"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
7,1,닭고기,chicken meal,"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
8,1,닭고기,Poultry,"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
9,1,닭고기,가금분,"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
10,1,닭고기,가금부산물건조분,"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
11,1,닭고기,poultry by-product meal,"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
12,1,닭고기,계유,"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
13,1,닭고기,치킨오일,"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
14,1,닭고기,계육,"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
15,1,닭고기,계육분,"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
16,1,닭고기,닭간,"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
17,1,닭고기,천연향료(닭간),"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
18,1,닭고기,천연향료 (닭간),"닭·가금류 유래 육류, 분말, 부산물 및 지방 원료를 묶는 PetCheck 알러지 분류",
19,2,소고기,소고기,"소 유래 육류, 분말 및 지방 원료를 묶는 PetCheck 알러지 분류",
20,2,소고기,소,"소 유래 육류, 분말 및 지방 원료를 묶는 PetCheck 알러지 분류",
21,2,소고기,소기름,"소 유래 육류, 분말 및 지방 원료를 묶는 PetCheck 알러지 분류",
22,2,소고기,쇠고기,"소 유래 육류, 분말 및 지방 원료를 묶는 PetCheck 알러지 분류",
23,2,소고기,우육분,"소 유래 육류, 분말 및 지방 원료를 묶는 PetCheck 알러지 분류",
24,2,소고기,beef meal,"소 유래 육류, 분말 및 지방 원료를 묶는 PetCheck 알러지 분류",
25,2,소고기,Beef Tallow,"소 유래 육류, 분말 및 지방 원료를 묶는 PetCheck 알러지 분류",
